"";"Metazoa";"Dinoflagellata";"Ochrophyta";"Proteobacteria";"Chlorophyta";"Ciliophora";"Haptophyta";"Cercozoa";"Cryptophyta";"Pseudofungi";"Fungi";"Nitrospinae";"Opisthokonta_X";"Hilomonadea";"Picozoa";"Katablepharidophyta";"Perkinsea";"Lobosa";"Mantamonadidea";"Unclassified";"Radiolaria";"Ancoracystida";"Dadabacteria";"Nitrospirae";"Gemmatimonadetes";"Chrompodellids";"Telonemia";"Choanoflagellida";"Sagenista";"Apicomplexa";"Foraminifera";"Opalozoa";"Verrucomicrobia";"Discoba";"Conosa";"Mesomycetozoa";"Centroheliozoa";"Planctomycetes";"Thaumarchaeota";"Rhodophyta";"Apusomonadidae";"Prasinodermophyta";"Epsilonbacteraeota";"Dependentiae";"Streptophyta";"Kiritimatiellaeota";"Acidobacteria"
"OSD002";0,380369996018255;0,18750650862201;0,175267236362523;0,00937547857514778;0,0252748935648871;0,0750650862200986;0,0446231124996171;0,0134307329474103;0,0238138993537321;0,00785935250696805;0,000523752641734816;0,0102300223590309;0,0242886459003339;0,00749486967441576;0,00594811479677785;0,000162332690128335;0,0038040981347055;0,000891298355232932;0,00255137982786609;0,000572758736867898;0;0,00062176483200098;6,12576189163527e-05;2,14401666207235e-05;3,67545713498116e-05;0;0;0;0;0;0;0;0;0;0,000143955404453429;0;0;6,12576189163527e-05;0;0;0;0;0;0;0;0;0
"OSD003";0,392676503972758;0,128095346197503;0,294197502837684;0,0334710556186152;0,0267423382519864;0,0324767309875142;0,0124948921679909;0,0160136208853575;0,0115595913734393;0,00437684449489217;0,000345062429057889;0,0114506242905789;0,000817253121452894;0,00424971623155505;0,00321452894438138;0,00582519863791146;0,0015527809307605;0,00794551645856981;0,00717820658342792;0,00220204313280363;0;0,00185698070374574;0,000744608399545971;2,72417707150965e-05;0,000449489216799092;3,6322360953462e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD014";0,707360570687419;0,152619314559564;0,0319555277099958;0,00193453362351338;0,0634466574336653;0,00305843170876476;0,0147892897183935;0,00406966519378311;0,00463298819494823;0,00134373145155972;0,000513860493745741;0,000681483435555849;0,00404768185715228;0,00195651696014421;0,000241816702939172;0,000255556288333443;0,000192354195519796;0,00262426081030579;4,94625074193761e-05;0,000989250148387522;0,00213513157026974;0,000926048055573875;0;9,89250148387522e-05;0;0;1,64875024731254e-05;0;0;0;0;0;0;6,0454175734793e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD022";0,578097189105686;0,256913053699164;0,0527185411559257;0,0238069651072976;0,00549081505860228;0,0105954259999328;0,026634650905061;0,00720018806461363;0,00229707492359875;0,00345568727541391;0,000708600597776808;0,00351277831883669;0,00464452429727642;0,0106625919333714;0,00304933337811062;0,00102763878160997;0,000711958894448736;0,0023272995936461;0,000110823790173624;0,000920173288108271;0,000238439063706888;0,00213251838667428;0;0,000527252577492696;0;0;0,00183362998287269;0;0;2,6866373375424e-05;0;0;0;0,000127615273533264;0;0;0;0;6,716593343856e-05;6,0449340094704e-05;0;5,3732746750848e-05;0;0;4,7016153406992e-05;0;0
"OSD030";0,77033546881966;0,0862398544042115;0,0223737487861928;0,00392693338870533;0,0107211999438137;0,0453185213233094;0,00713321648212726;0,0199461344440305;0,00266274176901326;0,00882185891132948;0,00118479794309306;0,00101990338400278;0,00575604155342889;0,000134358529629109;0,00676373052564721;0,00266274176901326;0,000497737280216928;0;0,000412236397725677;0,000219859412120361;0;0,00252227603349192;0;0,00132221007566828;2,4428823568929e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD037";0,584441985622438;0,0926488496641307;0,163282876559861;0,0118045280152942;0,120205842684859;0,00165970485406382;0,00279236339352355;0,0030116932263091;0,000703819612670062;0,00150912019274837;0,00367950346344721;0,00271707106286582;0,000117848865377313;0,00097225313936283;0,000111301706189684;0;0;0,00388901255745132;0,00227841139729471;0,00378098443085545;4,25565347195852e-05;0,000255339208317511;5,56508530948421e-05;1,63678979690712e-05;2,29150571566997e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD039";0,0957138748478246;0,0529747576028587;0,295836797087688;0,255221240332678;0,195607893814096;0,0212947021302582;0,00133953722928544;0,0150658540140809;0,0227760727132327;0,00217083827451846;0,0179891970262274;0,00154046781367825;0,0004609583994894;0,00427863950295289;0,00175321784421182;0,00235206978201001;5,51574153235179e-05;0,00150500947525599;0,0038491996265055;0,00475141734858305;5,12175999432667e-05;0,00117406498331488;0,00114254646027287;0,000362463014983118;0,000496416737911661;0,000236388922815077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD043";0,22949746576411;0,404966918815746;0,144612034026361;0,00825576664841568;0,0245745940175515;0,0231338877962089;0,0550649541329304;0,0147435328808313;0,00347482434701749;0,00762259002884471;0,000538353067847781;0,00449953047047776;0,00629811912896921;0,00598611905555742;0,00671106040260245;0,000731058995543293;0,0024654123448029;0,00362776555947425;0,00136423561511426;0,00130305913013156;0,0360207143578151;0,0110148261211356;8,87059032249184e-05;0,0014896474093288;0,000177411806449837;3,97647152387565e-05;7,34117819792428e-05;6,11764849827023e-06;0,000624000146823564;0,000477176582865078;0;0,000461882461619403;0;0;0;0;0;0;0;0;5,50588364844321e-05;0;0;0;0;0;0
"OSD054";0,149173637499264;0,188356365967076;0,316509591298831;0,0417988345247516;0,0307654072296091;0,0418511566458904;0,0306967344456144;0,0464293422455346;0,0124068829750358;0,0599807716204815;0,00235122531867442;0,0141335129726159;0,00785812856853217;0,022570455006246;0,0138293906434967;0,00518316012531148;0,00465339864878122;0,00595491141210865;0,00118378799076515;0,0034794210557296;0;0,000454548427393247;0,00017658715884342;8,50234468505353e-05;9,15637119928842e-05;0;0;2,61610605693955e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD055";0,143949574607486;0,159296225269128;0,302423230878858;0,0950401958861985;0,0526491982343461;0,0427401112381098;0,0230367143150918;0,0448060984882903;0,0390002917250515;0,0230223671814099;0,000999516979832712;0,020157722822942;0,00879479294694908;0,00981822181625148;0,0120228980253562;0,00650881631364747;0,00478237789393642;0,00539930464225422;0,00198946920387755;0,00228597663330161;0;0,00033476645257555;0,000449543522030024;0,000148253714712029;0,000291725051530122;0;0;5,26061568333007e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
